"District","Year","Interaction","PP_pos","PP_neg"
"Agra",2001,-0.0979566052758601,0.166177355261282,0.833822644738718
"Aligarh",2001,-0.224663623275873,0.0172981788217071,0.982701821178293
"Allahabad",2001,-0.0649162879334836,0.266508858808186,0.733491141191814
"Ambedkar Nagar",2001,0.00186834337968852,0.504693103372062,0.495306896627938
"Auraiya",2001,-0.053630751631599,0.33336857556002,0.66663142443998
"Azamgarh",2001,0.0228263499073421,0.57490031331516,0.42509968668484
"Baghpat",2001,0.0608805130328708,0.678549882058191,0.321450117941809
"Bahraich",2001,-0.131987022487073,0.142772400662117,0.857227599337883
"Ballia",2001,-0.0247665047535521,0.422430396950333,0.577569603049667
"Balrampur",2001,0.0657327935820416,0.680451311469882,0.319548688530118
"Banda",2001,-0.0918522059215463,0.228364252658223,0.771635747341777
"Barabanki",2001,0.0660704065664901,0.710229264234576,0.289770735765424
"Bareilly",2001,0.030587393168429,0.61252603082124,0.38747396917876
"Basti",2001,0.0976042127156626,0.772440516591017,0.227559483408983
"Bijnor",2001,0.0569511357854715,0.679932284185248,0.320067715814752
"Budaun",2001,0.165410555479506,0.939243276889384,0.0607567231106161
"Bulandshahr",2001,0.0164183148599129,0.557637352150373,0.442362647849627
"Chandauli",2001,0.000644903506353101,0.50105312304957,0.49894687695043
"Chitrakoot",2001,-0.0787877404857346,0.28135641742734,0.71864358257266
"Deoria",2001,-0.000463324470240592,0.49753026781561,0.50246973218439
"Etah",2001,0.00123302693896867,0.503773575382686,0.496226424617314
"Etawah",2001,-0.00451824974700066,0.4841413860651,0.5158586139349
"Faizabad",2001,-0.037513969379518,0.384880498076135,0.615119501923865
"Farrukhabad",2001,-0.0866144094639198,0.240249738095258,0.759750261904742
"Fatehpur",2001,0.0941413489252464,0.797242397550235,0.202757602449765
"Firozabad",2001,-0.00311173036626873,0.487736664520772,0.512263335479228
"Gautam Buddha Nagar",2001,-0.0235473551023853,0.427089281506582,0.572910718493418
"Ghaziabad",2001,-0.102925191668079,0.18478020685057,0.81521979314943
"Ghazipur",2001,-0.06643850901743,0.295092270192718,0.704907729807282
"Gonda",2001,-0.0699374329617386,0.280289273950175,0.719710726049825
"Gorakhpur",2001,-0.261873967470125,0.0156375419352665,0.984362458064734
"Hamirpur",2001,0.0707081189920395,0.707121812834649,0.292878187165351
"Hardoi",2001,0.251633086054791,0.989983045626387,0.0100169543736134
"Hathras",2001,0.108177282803756,0.809670402154709,0.190329597845291
"Jalaun",2001,-0.0315030774750486,0.395364848463744,0.604635151536256
"Jaunpur",2001,0.00776026215340377,0.526559400904562,0.473440599095438
"Jhansi",2001,0.0603720268727253,0.689570422647724,0.310429577352276
"Jyotiba Phule Nagar",2001,-0.019884813515816,0.439683585935244,0.560316414064756
"Kannauj",2001,-0.024625392905741,0.421206905761008,0.578793094238992
"Kanpur Dehat",2001,0.0912754085998516,0.781859559821228,0.218140440178772
"Kanpur Nagar",2001,-0.0618500983980508,0.270969058938006,0.729030941061994
"Kaushambi",2001,0.0851387514422842,0.752040334497618,0.247959665502382
"Kheri",2001,0.293370948731302,0.998402517112872,0.00159748288712772
"Kushinagar",2001,-0.0842598097158896,0.25218026292691,0.74781973707309
"Lalitpur",2001,0.0122286883073821,0.534139241324417,0.465860758675583
"Lucknow",2001,-0.0492058469732826,0.324898414909846,0.675101585090154
"Mahoba",2001,-0.0339891453111845,0.400078293283755,0.599921706716245
"Mahrajganj",2001,-0.140002039338939,0.149251463790408,0.850748536209592
"Mainpuri",2001,0.0454456175609998,0.654182571429358,0.345817428570642
"Mathura",2001,-0.12810157792735,0.147632041899577,0.852367958100423
"Mau",2001,0.0628087816695561,0.678723597485068,0.321276402514932
