"District","Year","Interaction","PP_pos","PP_neg"
"Bahraich",2011,0.315770666661563,0.997845745549519,0.00215425445048093
"Kanpur Dehat",2006,0.312828384769371,0.996388484748876,0.00361151525112403
"Gorakhpur",2010,0.302428488195773,0.996921730781165,0.00307826921883472
"Kheri",2001,0.293370948731302,0.998402517112872,0.00159748288712772
"Etah",2002,0.253266667454777,0.993691120043369,0.00630887995663067
"Sitapur",2002,0.25295507742098,0.994206653623919,0.00579334637608138
"Hardoi",2001,0.251633086054791,0.989983045626387,0.0100169543736134
"Sultanpur",2001,0.23571537423369,0.972901516062361,0.0270984839376392
"Sitapur",2005,0.230825894099775,0.98645282442373,0.0135471755762697
"Pilibhit",2001,0.223552986798078,0.970927222714183,0.0290727772858173
